212F30	3007
21452D	696D
21452E	6979
21452F	6953
214530	6986
214531	69A8
214532	6995
214533	699C
214534	6994
214535	69C1
214536	69B7
214537	69AE
214538	699B
214539	69CB
21453A	69D3
21453B	69BB
21453C	69AB
21453D	69CC
21453E	69AD
21453F	69D0
214540	69CD
214541	69B4
214542	6A1F
214543	69E8
214544	6A23
214545	69EA
214546	6A01
214547	6A19
214548	69FD
214549	6A1E
21454A	6A13
21454B	6A21
21454C	69F3
21454D	6A0A
21454E	6A02
21454F	6A05
214550	6A3D
214551	6A58
214552	6A59
214553	6A62
214554	6A44
214555	6A39
214556	6A6B
214557	6A3A
214558	6A38
214559	6A47
21455A	6A61
21455B	6A4B
21455C	6A35
21455D	6A5F
21455E	6A80
21455F	6A94
214560	6A84
214561	6AA2
214562	6A9C
214563	6AB8
214564	6AB3
214565	6AC3
214566	6ABB
214568	6AAC
214569	6AE5
21456A	6ADA
21456B	6ADD
21456C	6ADB
21456D	6AD3
21456E	6B04
21456F	6AFB
214570	6B0A
214571	6B16
214573	6B21
214574	6B23
214576	6B3E
214577	6B3A
214578	6B3D
214579	6B47
21457A	6B49
21457B	6B4C
21457C	6B50
21457D	6B59
21457E	6B5F
214621	6B61
214623	6B63
214624	6B64
214625	6B65
214627	6B66
214628	6B6A
214629	6B72
21462A	6B77
21462B	6B78
21462C	6B79
21462D	6B7B
21462E	6B7F
21462F	6B83
214630	6B86
214631	6B8A
214632	6B89
214633	6B98
214634	6B96
214635	6BA4
214636	6BAE
214637	6BAF
214638	6BB2
214639	6BB5
21463A	6BB7
21463B	6BBA
21463C	6BBC
21463D	6BC0
21463E	6BBF
21463F	6BC5
214640	6BC6
214641	6BCB
214642	6BCD
214643	6BCF
214644	6BD2
214646	6BD4
214647	6BD7
214648	6BDB
214649	6BEB
21464A	6BEF
21464B	6BFD
21464C	6C0F
21464D	6C11
21464E	6C10
21464F	6C13
214650	6C16
214651	6C1B
214652	6C1F
214653	6C27
214654	6C26
214655	6C23
214656	6C28
214657	6C24
214658	6C2B
214659	6C2E
21465A	6C33
21465B	6C2F
21465C	6C34
21465D	6C38
21465E	6C41
214660	6C40
214661	6C42
214662	6C5E
214663	6C57
214664	6C5F
214665	6C59
214666	6C60
214667	6C55
214668	6C50
214669	6C5D
21466A	6C9B
21466B	6C81
21466D	6C7A
21466E	6C6A
21466F	6C8C
214670	6C90
214671	6C72
214672	6C70
214673	6C68
214674	6C96
214676	6C89
214677	6C99
214678	6C7E
214679	6C7D
21467A	6C92
21467B	6C83
21467C	6CB1
21467E	6CF3
214721	6CE3
214722	6CF0
214723	6CB8
214724	6CD3
214725	6CAB
214726	6CE5
214727	6CBD
214728	6CB3
214729	6CC4
21472A	6CD5
21472B	6CE2
21472C	6CBC
21472D	6CAE
21472E	6CB9
21472F	6CF1
214730	6CC1
214731	6CBE
214732	6CC5
214733	6CD7
214734	6CBB
214735	6CDB
214736	6CE1
214737	6CBF
214738	6CCA
214739	6CCC
21473A	6CC9
21473B	6D41
21473C	6D0B
21473D	6D32
21473E	6D25
21473F	6D31
214740	6D2A
214741	6D0C
214742	6D1E
214743	6D17
214744	6D3B
214745	6D1B
214746	6D36
214747	6D3D
214748	6D3E
214749	6D6A
21474A	6D95
21474B	6D78
21474C	6D66
21474D	6D59
21474E	6D87
21474F	6D88
214750	6D6C
214751	6D93
214752	6D89
214753	6D6E
214754	6D74
214755	6D5A
214756	6D69
214757	6D77
214758	6DD9
214759	6DDA
21475A	6DF3
21475B	6DBC
21475C	6DE4
21475D	6DB2
21475E	6DE1
21475F	6DD2
214760	6DAE
214761	6DF8
214762	6DC7
214763	6DCB
214764	6DC5
214765	6DDE
214766	6DAF
214767	6DB5
214768	6DFA
214769	6DF9
21476A	6DCC
21476B	6DF7
21476C	6DB8
21476D	6DD1
21476E	6DF1
21476F	6DE8
214770	6DEB
214771	6DD8
214772	6DFB
214773	6DEE
214774	6DF5
214775	6D8E
214776	6DC6
214777	6DEA
214778	6DC4
214779	6E54
21477A	6E21
21477B	6E38
21477C	6E32
21477D	6E67
21477E	6E20
214821	6E5B
214822	6E1A
214823	6E56
214824	6E2F
214825	6E6E
214826	6E58
214827	6E23
214828	6E24
214829	6E1B
21482A	6E25
21482B	6E4A
21482C	6E3A
21482D	6E6F
21482E	6E2D
21482F	6E34
214830	6E2C
214831	6E26
214832	6E4D
214833	6E3E
214834	6E43
214835	6E19
214836	6E1D
214837	6ED3
214838	6EB6
214839	6EC2
21483B	6EAF
21483C	6EA2
21483D	6E9D
21483F	6EA5
214840	6E98
214841	6E90
214842	6EC5
214843	6EC7
214844	6EBC
214845	6EAB
214846	6ED1
214847	6ECB
214848	6EC4
214849	6ED4
21484A	6EAA
21484B	6E96
21484C	6E9C
21484D	6F33
21484E	6EF4
21484F	6EEC
214850	6EFE
214851	6F29
214852	6F14
214853	6F3E
214854	6F2C
214855	6F32
214856	6F0F
214857	6F22
214858	6EFF
214859	6F23
21485A	6F38
21485B	6F15
21485C	6F31
21485D	6F02
21485E	6F06
21485F	6EEF
214860	6F2B
214861	6F2F
214862	6F20
214863	6F3F
214864	6EF2
214865	6F01
214866	6F11
214867	6ECC
214868	6F2A
214869	6F7C
21486A	6F88
21486B	6F84
21486C	6F51
21486D	6F64
21486E	6F97
21486F	6F54
214870	6F7A
214871	6F86
214872	6F8E
214873	6F6D
214874	6F5B
214875	6F6E
214876	6F78
214877	6F66
214878	6F70
214879	6F58
21487A	6FC2
21487B	6FB1
21487C	6FC3
21487D	6FA7
21487E	6FA1
214921	6FA4
214922	6FC1
214924	6FC0
214925	6FB3
214926	6FDF
214927	6FD8
214928	6FF1
214929	6FE0
21492A	6FEF
21492B	6FEB
21492C	6FE1
21492D	6FE4
21492E	6F80
214931	700B
214932	7009
214933	7006
214934	6FFA
214935	7011
214936	6FFE
214937	700F
214938	701B
214939	701A
21493A	7028
21493B	701D
21493C	7015
21493D	701F
21493F	703E
214940	704C
214941	7051
214942	7058
214943	7063
214944	7064
214945	706B
214946	7070
214947	7076
214948	707C
214949	7078
21494A	707D
21494B	7095
21494C	708E
21494D	7092
21494E	7099
21494F	708A
214950	70AB
214951	70BA
214952	70AC
214953	70B3
214954	70AF
214955	70AD
214956	70AE
214957	70B8
214958	70CA
214959	70E4
21495A	70D8
21495B	70C8
21495C	70D9
21495D	70CF
21495E	70F9
21495F	7109
214960	710A
214961	70FD
214962	7119
214963	716E
214964	711A
214965	7136
214966	7121
214967	7130
214968	7126
214969	714E
21496A	7149
21496B	7159
21496C	7164
21496D	7169
21496E	715C
21496F	716C
214970	7166
214971	7167
214972	715E
214973	7165
214974	714C
214975	717D
214977	7199
214978	718A
214979	7184
21497A	719F
21497B	71A8
21497C	71AC
21497D	71B1
21497E	71D9
214A21	71BE
214A22	71C9
214A23	71D0
214A24	71C8
214A25	71DC
214A26	71D2
214A27	71B9
214A28	71D5
214A29	71CE
214A2A	71C3
214A2B	71C4
214A2C	71EE
214A2D	71E7
214A2E	71DF
214A2F	71E5
214A30	71ED
214A31	71E6
214A32	71EC
214A33	71F4
214A34	71FB
214A35	7206
214A36	720D
214A37	7210
214A38	721B
214A39	7228
214A3A	722A
214A3B	722D
214A3C	722C
214A3D	7230
214A3E	7235
214A3F	7236
214A40	7238
214A41	7239
214A42	723A
214A43	723B
214A44	723D
214A45	723E
214A46	7246
214A47	7247
214A48	7248
214A49	724C
214A4A	7252
214A4B	7256
214A4C	7258
214A4D	7259
214A4E	725B
214A4F	725F
214A50	725D
214A51	7262
214A52	7261
214A53	7260
214A54	7267
214A55	7269
214A56	726F
214A57	7272
214A58	7274
214A59	7279
214A5A	727D
214A5B	7281
214A5C	7280
214A5D	7284
214A5E	7296
214A5F	7292
214A60	729B
214A61	72A2
214A62	72A7
214A63	72AC
214A64	72AF
214A65	72C4
214A66	72C2
214A67	72D9
214A68	72C0
214A69	72CE
214A6A	72D7
214A6B	72D0
214A6C	72E1
214A6D	72E9
214A6E	72E0
214A6F	72FC
214A70	72F9
214A72	72FD
214A73	72F7
214A74	731C
214A75	731B
214A76	7313
214A77	7316
214A78	7319
214A79	7336
214A7A	7337
214A7B	7329
214A7C	7325
214A7D	7334
214A7E	7344
214B21	733F
214B22	733E
214B23	7345
214B24	7350
214B26	7357
214B27	7368
214B28	7370
214B29	7372
214B2A	7377
214B2B	7378
214B2C	7375
214B2D	737A
214B2E	737B
214B2F	7380
214B30	7384
214B31	7387
214B32	7389
214B33	738B
214B34	7396
214B35	739F
214B36	73A8
214B37	73A9
214B38	73AB
214B39	73BB
214B3A	73CA
214B3B	73B7
214B3C	73C0
214B3E	73B2
214B3F	73CD
214B40	73ED
214B41	73EE
214B42	73E0
214B43	7405
214B44	7409
214B45	7403
214B46	740A
214B47	73FE
214B48	7406
214B49	740D
214B4A	743A
214B4B	7435
214B4C	7436
214B4D	7434
214B4E	742A
214B4F	7433
214B50	7422
214B51	7425
214B53	7455
214B54	745F
214B55	745A
214B56	7441
214B57	743F
214B58	745B
214B59	745E
214B5A	745C
214B5B	7459
214B5C	7483
214B5D	7469
214B5E	746A
214B5F	7463
214B60	7464
214B61	7470
214B62	748B
214B63	749C
214B64	74A3
214B65	74A7
214B66	74A9
214B67	74B0
214B68	74A6
214B69	74BD
214B6A	74CA
214B6B	74CF
214B6C	74DC
214B6D	74E0
214B6E	74E2
214B6F	74E3
214B70	74E6
214B71	74F6
214B72	74F7
214B73	7504
214B74	750C
214B75	7515
214B76	7518
214B77	751A
214B78	751C
214B79	751F
214B7A	7522
214B7B	7526
214B7C	7525
214B7D	7528
214B7E	7529
214C21	752C
214C22	752B
214C23	752D
214C24	7530
214C25	7532
214C26	7531
214C27	7533
214C28	7537
214C29	7538
214C2A	753D
214C2B	754F
214C2C	754C
214C2D	755D
214C2E	755C
214C2F	7554
214C30	755A
214C31	7559
214C32	7566
214C33	7562
214C34	7570
214C35	7565
214C36	756B
214C37	756A
214C38	7578
214C39	7576
214C3A	7586
214C3B	7587
214C3C	758A
214C3E	758F
214C3F	7591
214C40	759D
214C41	7599
214C42	759A
214C43	75A4
214C44	75AB
214C45	75A5
214C46	75C7
214C47	75C5
214C48	75B3
214C49	75B2
214C4A	75BD
214C4B	75BE
214C4C	75BC
214C4D	75B9
214C4E	75D5
214C4F	75D4
214C50	75B5
214C51	75CA
214C52	75DB
214C53	75E3
214C54	75D8
214C55	75DE
214C56	75D9
214C57	75E2
214C58	7601
214C59	7600
214C5A	75F0
214C5B	75F2
214C5C	75F1
214C5D	75F4
214C5E	75FF
214C5F	75FA
214C60	760D
214C61	7627
214C62	7613
214C63	760B
214C65	7620
214C66	7629
214C67	761F
214C68	7624
214C69	7626
214C6A	7621
214C6B	7634
214C6C	7638
214C6D	7646
214C6E	7642
214C6F	764C
214C70	7656
214C71	7658
214C73	7662
214C74	7665
214C75	7669
214C76	766E
214C77	766C
214C78	7671
214C79	7672
214C7A	7678
214C7B	767C
214C7C	767B
214C7D	767D
214C7E	767E
214D21	7682
214D22	7684
214D23	7687
214D24	7686
214D26	768E
214D27	7696
214D28	7693
214D29	769A
214D2A	76AE
214D2B	76B0
214D2C	76B4
214D2D	76BA
214D2E	76BF
214D2F	76C2
214D31	76C8
214D32	76C6
214D33	76CA
214D34	76CD
214D35	76CE
214D36	76D4
214D37	76D2
214D38	76DC
214D39	76DB
214D3A	76DE
214D3B	76DF
214D3C	76E1
214D3D	76E3
214D3E	76E4
214D3F	76E7
214D40	76E5
214D41	76EA
214D42	76EE
214D43	76EF
214D44	76F2
214D45	76F4
214D46	7709
214D47	76F9
214D48	76F8
214D49	7701
214D4A	770B
214D4B	76FC
214D4C	76FE
214D4D	7729
214D4E	7720
214D4F	771E
214D50	7728
214D51	7737
214D52	773C
214D53	7736
214D54	7738
214D55	773A
214D56	773E
214D57	774F
214D58	776B
214D59	775B
214D5A	776A
214D5B	7766
214D5C	7779
214D5D	775E
214D5E	7763
214D5F	775C
214D60	776C
214D61	7768
214D62	7765
214D63	777D
214D64	7771
214D65	777F
214D66	7784
214D67	7761
214D68	7787
214D69	778E
214D6A	778C
214D6B	7791
214D6C	779F
214D6D	779E
214D6E	77A0
214D6F	77A5
214D70	77B3
214D71	77AA
214D72	77B0
214D73	77AD
214D74	77AC
214D75	77A7
214D76	77BD
214D77	77BF
214D78	77BB
214D7A	77D3
214D7B	77D7
214D7C	77DA
214D7D	77DB
214D7E	77DC
214E21	77E2
214E22	77E3
214E23	77E5
214E24	77E9
214E25	77ED
214E26	77EE
214E27	77EF
214E28	77F3
214E29	77FD
214E2A	7802
214E2B	780D
214E2C	780C
214E2D	65AB
214E2E	7830
214E2F	781D
214E30	7834
214E31	7838
214E32	7837
214E33	7827
214E34	782D
214E35	7825
214E36	786B
214E37	784F
214E38	7843
214E39	786C
214E3A	785D
214E3B	786F
214E3C	78B0
214E3D	7897
214E3E	788E
214E3F	7898
214E40	7889
214E41	7891
214E42	787C
214E43	788C
214E44	78A7
214E45	78A9
214E46	789F
214E47	78B3
214E48	78CB
214E49	78BA
214E4A	78C1
214E4B	78C5
214E4C	78BC
214E4D	78D5
214E4E	78BE
214E4F	78CA
214E50	78D0
214E51	78E8
214E52	78EC
214E53	78DA
214E54	78F7
214E55	78F4
214E56	78FA
214E57	7901
214E58	78EF
214E59	790E
214E5A	7919
214E5B	7926
214E5C	792C
214E5D	792A
214E5E	792B
214E5F	793A
214E60	7940
214E61	793E
214E62	7941
214E63	7945
214E64	7949
214E65	7948
214E66	7947
214E67	7955
214E68	7960
214E69	7950
214E6A	7956
214E6B	795E
214E6C	795D
214E6D	795F
214E6E	795A
214E6F	7957
214E70	7965
214E71	7968
214E72	796D
214E73	797A
214E74	7981
214E75	797F
214E76	798F
214E77	798D
214E78	798E
214E79	79A6
214E7A	79A7
214E7B	79AA
214E7C	79AE
214E7D	79B1
214E7E	79B9
214F21	79BD
214F22	842C
214F23	79BE
214F24	79C0
214F25	79C1
214F26	79BF
214F27	79C9
214F28	79D1
214F29	79CB
214F2A	79D2
214F2B	79E4
214F2C	79E6
214F2D	79E3
214F2E	79DF
214F2F	79E7
214F30	79E9
214F31	79FB
214F32	7A05
214F33	7A0D
214F34	7A08
214F35	7A0B
214F36	7A00
214F37	7A1F
214F39	7A20
214F3A	7A1A
214F3B	7A14
214F3C	7A31
214F3D	7A2E
214F3E	7A3F
214F3F	7A3C
214F40	7A40
214F41	7A3D
214F42	7A37
214F43	7A3B
214F44	7A4D
214F45	7A4E
214F46	7A4C
214F47	7A46
214F48	7A57
214F49	7A61
214F4A	7A62
214F4B	7A6B
214F4C	7A69
214F4D	7A74
214F4E	7A76
214F4F	7A79
214F50	7A7A
214F51	7A7F
214F52	7A81
214F53	7A84
214F54	7A88
214F55	7A92
214F56	7A95
214F57	7A98
214F58	7A96
214F59	7A97
214F5A	7A9F
214F5B	7AA0
214F5C	7AAA
214F5D	7AA9
214F5E	7AAF
214F5F	7AAE
214F60	7ABA
214F61	7AC5
214F62	7AC4
214F63	7AC7
214F64	7ACA
214F65	7ACB
214F66	7AD9
214F67	7AE5
214F68	7AE3
214F69	7AED
214F6A	7AEF
214F6B	7AF6
214F6C	7AF9
214F6D	7AFA
214F6E	7AFF
214F6F	7AFD
214F70	7B06
214F71	7B11
214F72	7B20
214F73	7B2C
214F74	7B28
214F75	7B1B
214F76	7B1E
214F77	7B19
214F78	7B26
214F79	7B46
214F7A	7B49
214F7B	7B50
214F7C	7B56
214F7D	7B52
214F7E	7B4B
215021	7B4D
215022	7B4F
215023	7B54
215024	7B60
215025	7B77
215026	7B75
215027	7BA1
215028	7B94
215029	7B95
21502A	7B9D
21502B	7B8B
21502C	7B97
21502D	7B8F
21502E	7BC7
21502F	7BAD
215030	7BC4
215031	7BB1
215032	7BB4
215033	7BC0
215034	7BC6
215035	7BC1
215036	7C11
215037	7BD9
215038	7BDB
215039	7BE4
21503A	7BC9
21503B	7BE1
21503C	7BE9
21503D	7C07
21503E	7C0D
21503F	7BFE
215040	7BF7
215041	7C21
215042	7C2B
215043	7C2A
215044	7C27
215045	7C1E
215046	7C23
215047	7C3F
215048	7C3E
215049	7C38
21504A	7C37
21504B	7C3D
21504C	7C43
21504D	7C4C
21504E	7C4D
21504F	7C50
215050	7C60
215051	7C5F
215052	7C64
215053	7C6C
215054	7C6E
215055	7C72
215056	7C73
215057	7C89
215058	7C92
215059	7C97
21505A	7C9F
21505B	7CA5
21505C	7CA4
21505D	7CB1
21505E	7CB3
21505F	7CBD
215060	7CB9
215061	7CBE
215062	7CCA
215063	7CD6
215064	7CD5
215065	7CE0
215066	7CDC
215067	7CDF
215068	7CDE
215069	7CE2
21506A	7CD9
21506B	7CE7
21506C	7CEF
21506E	7CFB
21506F	7CFE
215070	7D00
215071	7D02
215072	7D05
215073	7D09
215074	7D04
215075	7D07
215076	7D21
215077	7D0B
215078	7D0A
215079	7D20
21507A	7D1C
21507B	7D22
21507C	7D15
21507D	7D14
21507E	7D10
215121	7D17
215122	7D0D
215123	7D1A
215124	7D19
215125	7D1B
215126	7D46
215128	7D3C
215129	7D2E
21512A	7D39
21512B	7D44
21512C	7D30
21512D	7D33
21512E	7D2F
21512F	7D40
215130	7D42
215131	7D71
215132	7D5E
215133	7D68
215134	7D50
215135	7D2B
215136	7D62
215137	7D76
215138	7D61
215139	7D66
21513A	7D6E
21513B	7D72
21513C	7D93
21513D	7D91
21513E	7D79
21513F	7D8F
215140	7D81
215141	7D9C
215142	7DBB
215143	7DB0
215144	7DCA
215145	7DBE
215146	7DB4
215147	7DBA
215148	7DB2
215149	7DB1
21514A	7DBD
21514B	7DB5
21514C	7DA0
21514D	7DA2
21514E	7DAD
21514F	7DBF
215150	7DB8
215151	7DC7
215152	7DE0
215153	7DEF
215154	7DF4
215155	7DD6
215156	7DD8
215157	7DEC
215158	7DDD
215159	7DE9
21515A	7DE3
21515B	7DE8
21515C	7DDA
21515D	7D9E
21515E	7DDE
21515F	7E11
215160	7E0A
215161	7E08
215162	7E1B
215163	7DFB
215164	7E23
215165	7E2E
215166	7E3E
215167	7E46
215168	7E37
215169	7E32
21516A	7E43
21516B	7E41
21516C	7E2B
21516D	7E3D
21516E	7E31
21516F	7E45
215170	7E55
215171	7E54
215172	7E61
215173	7E5E
215174	7E5A
215175	7E6B
215176	7E69
215177	7E6D
215178	7E79
215179	7E6A
21517A	8FAE
21517B	7E7D
21517C	7E82
21517D	7E7C
21517E	7E8F
215221	7E8C
215222	7E93
215223	7E96
215224	7E9C
215226	7F38
215227	7F3A
215228	7F3D
215229	7F44
21522B	7F50
21522C	7F55
21522D	7F54
21522E	7F5F
21522F	7F72
215230	7F6E
215231	7F69
215232	7F6A
215233	7F70
215234	7F75
215235	7F77
215236	7F79
215237	7F85
215238	7F88
215239	7F8A
21523A	7F8C
21523B	7F8E
21523C	7F94
21523D	7F9E
21523E	7F9A
21523F	5584
215240	7FA8
215241	7FA4
215242	7FA9
215243	7FAF
215244	7FB2
215245	7FB6
215246	7FB8
215247	7FB9
215248	7FBD
215249	7FBF
21524A	7FC5
21524B	7FC1
21524C	7FCC
21524D	7FD2
21524E	7FCE
21524F	7FD4
215250	7FD5
215251	7FE0
215252	7FE1
215253	7FDF
215254	7FE9
215255	7FF0
215256	7FF3
215257	7FFC
215258	7FF9
215259	7FFB
21525A	7FF1
21525B	8000
21525C	8001
21525D	8003
21525E	8006
21525F	8005
215260	800C
215261	8010
215262	800D
215263	8012
215264	8015
215265	8018
215266	8019
215267	8017
215268	801C
215269	8033
21526A	8036
21526B	803F
21526C	803D
21526D	804A
21526E	8046
21526F	8056
215270	8058
215271	805E
215272	805A
215273	8071
215274	8072
215275	8073
215276	8070
215277	806F
215278	8077
215279	8076
21527A	807E
21527B	807D
21527C	807F
21527E	8084
215321	8085
215322	8087
215323	8089
215324	808B
215325	808C
215326	8093
215327	809D
215328	8098
215329	809B
21532A	809A
21532B	8096
21532C	80B2
21532D	80AA
21532E	80BA
21532F	80A5
215330	80A2
215331	80AB
215332	80B1
215333	80AF
215334	80A1
215335	80A9
215336	80B4
215337	80D6
215338	80CC
215339	80E5
21533A	80DA
21533B	80E1
21533C	80C3
21533D	80DB
21533E	80C4
21533F	80CE
215340	80DE
215341	80E4
215342	80F0
215343	8102
215344	8105
215345	80F1
215346	80F4
215347	80ED
215348	80FD
215349	8106
21534A	80F3
21534B	80F8
21534C	810A
21534D	8108
21534E	812B
21534F	812F
215350	8116
215352	8129
215353	8155
215354	8154
215355	814B
215356	8151
215357	8150
215358	814E
215359	8139
21535A	8146
21535B	813E
21535C	8171
21535D	8170
21535E	8178
21535F	8165
215360	816E
215361	8173
215362	816B
215363	8179
215364	817A
215365	8166
215366	8180
215367	818F
215368	817F
215369	818A
21536A	8188
21536B	819D
21536C	81A0
21536D	819B
21536E	819A
21536F	819C
215370	81B3
215371	81A9
215372	81A8
215373	81C6
215374	81BA
215375	81C3
215376	81C0
215377	81C2
215378	81BF
215379	81BD
21537A	81C9
21537B	81BE
21537C	81CD
21537D	81CF
21537E	81D8
215421	81DA
215422	81DF
215423	81E3
215424	81E5
215425	81E8
215426	81EA
215427	81EC
215428	81ED
215429	81F3
21542B	81FA
21542C	81FB
21542D	81FC
21542E	81FE
21542F	8200
215430	8202
215431	8205
215432	8207
215433	8208
215434	8209
215435	820A
215436	820C
215437	820D
215438	8210
215439	8212
21543A	8214
21543B	821B
21543C	821C
21543D	821E
21543E	821F
21543F	8222
215440	822A
215441	822B
215442	822C
215443	8228
215444	8237
215445	8235
215446	8239
215447	8236
215448	8247
215449	8258
21544A	8259
21544B	8266
21544C	826E
21544D	826F
21544E	8271
21544F	8272
215450	827E
215451	8292
215452	828B
215453	828D
215454	82B3
215455	829D
215456	8299
215457	82BD
215458	82AD
215459	82AC
21545A	82A5
21545B	829F
21545C	82BB
21545D	82B1
21545E	82B9
215460	82E7
215461	8305
215462	8309
215463	82E3
215464	82DB
215465	82E6
215466	8304
215467	82E5
215468	8302
215469	82DC
21546A	82D7
21546B	82F1
21546C	8301
21546D	82D3
21546E	82D4
21546F	82D1
215470	82DE
215471	82DF
215472	832B
215473	8352
215474	834A
215475	8338
215476	8354
215477	8350
215478	8349
215479	8335
21547A	8334
21547B	8336
21547C	8331
21547D	8340
21547E	8317
215521	5179
215522	834F
215523	8339
215524	838E
215525	8398
215526	839E
215527	8378
215528	83A2
215529	8396
21552A	83A7
21552B	83AB
21552C	8392
21552D	838A
21552E	8393
21552F	83A0
215530	8389
215531	8377
215532	837C
215533	837B
215534	840D
215535	83E0
215536	83E9
215538	8403
215539	83C5
21553A	83C1
21553B	840B
21553C	83EF
21553E	83F1
21553F	83BD
215541	840A
215542	840C
215543	83CC
215544	83DC
215545	83CA
215546	83F2
215547	840E
215548	8404
215549	843D
21554A	8482
21554B	8431
21554C	8475
21554D	8466
21554E	8457
21554F	8449
215550	846C
215551	846B
215552	845B
215553	8477
215554	843C
215555	8435
215556	8461
215557	8463
215558	8469
215559	8438
21555A	84B2
21555B	849E
21555C	84BF
21555D	84C6
21555E	84C4
21555F	84C9
215560	849C
215561	84CB
215562	84B8
215563	84C0
215564	8499
215565	84D3
215566	8490
215567	84BC
215568	853D
215569	84FF
21556A	8517
21556B	851A
21556C	84EE
21556D	852C
21556E	852D
21556F	8513
215571	8523
215572	8521
215573	8514
215574	84EC
215575	8525
215576	8569
215577	854A
215578	8559
215579	8548
21557A	8568
21557B	8543
21557C	856A
21557D	8549
21557E	8584
215621	85AA
215622	856D
215623	859B
215624	8591
215625	857E
215626	8594
215627	859C
215628	8587
215629	85CD
21562A	85A9
21562B	85CF
21562C	85AF
21562D	85D0
21562E	85C9
21562F	85B0
215630	85E9
215631	85DD
215632	85EA
215633	85E4
215634	85D5
215635	85E5
215636	85FB
215637	85F9
215638	8611
215639	85FA
21563A	8606
21563B	860B
21563C	8607
21563D	860A
21563E	862D
21563F	8617
215640	861A
215641	8638
215642	863F
215643	864E
215644	8650
215645	8654
215646	5F6A
215647	8655
215648	865C
215649	865B
21564A	865F
21564B	865E
21564C	8667
21564F	8679
215650	86A9
215651	86AA
215652	868A
215653	8693
215654	86A4
215655	868C
215656	86A3
215657	86C0
215658	86C7
215659	86B5
21565A	86CB
21565B	86B6
21565C	86C4
21565D	86C6
21565E	86B1
21565F	86AF
215660	86DF
215661	86D9
215662	86ED
215663	86D4
215664	86DB
215665	86E4
215666	86FB
215667	86F9
215668	8707
215669	8703
21566A	8708
21566B	8700
21566C	86FE
21566D	8713
21566E	8702
21566F	871C
215670	873F
215671	873B
215672	8722
215673	8725
215674	8734
215675	8718
215676	8755
215677	8760
215678	8776
215679	8774
21567A	8766
21567B	8778
21567C	8768
21567D	874C
21567E	8757
215721	8759
215722	8783
215723	8782
215724	87A2
215725	879E
215726	878D
215727	879F
215728	87D1
215729	87C0
21572A	87AB
21572B	87B3
21572C	87BB
21572D	87C8
21572E	87D2
21572F	87BA
215730	87C6
215731	87CB
215732	87EF
215733	87F2
215734	87EC
215735	87FB
215736	8805
215737	880D
215738	87F9
215739	8814
21573A	8815
21573B	8822
21573C	8823
21573D	8821
21573E	881F
21573F	8831
215740	8839
215741	8836
215742	883B
215743	8840
215744	884C
215745	884D
215746	8853
215747	8857
215748	8859
215749	885B
21574A	885D
21574B	8861
21574C	8862
21574D	8863
21574E	521D
21574F	8868
215750	886B
215751	8882
215752	8881
215753	8870
215754	8877
215755	8888
215756	88AB
215757	8892
215758	8896
215759	888D
21575A	888B
21575B	889E
21575C	88C1
21575D	88C2
21575E	88B1
21575F	88DF
215760	88D9
215761	88D8
215762	88DC
215763	88CF
215764	88D4
215765	88DD
215766	88D5
215767	8902
215768	88F3
215769	88F8
21576A	88F9
21576B	88F4
21576C	88FD
21576D	88E8
21576E	891A
21576F	8910
215771	8913
215772	8912
215773	8932
215774	892A
215775	8925
215776	892B
215777	893B
215778	8936
215779	8938
21577A	8944
21577B	895F
21577C	8960
21577D	8956
21577E	8964
215821	896A
215822	896F
215823	8972
215824	897F
215825	8981
215826	8983
215828	898B
215829	898F
21582A	8993
21582B	8996
21582C	89AA
21582D	89A6
21582E	89AC
21582F	89B2
215830	89BA
215831	89BD
215832	89C0
215833	89D2
215834	89E3
215835	89F4
215836	89F8
215837	8A00
215838	8A08
215839	8A02
21583A	8A03
21583B	8A10
21583C	8A18
21583D	8A0E
21583E	8A0C
21583F	8A15
215840	8A0A
215841	8A16
215842	8A17
215843	8A13
215844	8A2A
215845	8A23
215846	8A1D
215847	8A25
215848	8A31
215849	8A2D
21584A	8A1B
21584B	8A1F
21584C	8A3B
21584D	8A60
21584E	8A55
21584F	8A5E
215851	8A41
215852	8A54
215853	8A5B
215854	8A50
215855	8A46
215856	8A34
215857	8A3A
215858	8A6B
215859	8A72
21585A	8A73
21585B	8A66
21585C	8A69
21585D	8A70
21585E	8A63
21585F	8A7C
215860	8AA0
215861	8A87
215862	8A85
215863	8A6D
215864	8A79
215865	8A62
215866	8A71
215867	8A6E
215868	8A6C
215869	8AAA
21586A	8AA6
21586B	8AA1
21586C	8A9E
21586D	8A8C
21586E	8A93
21586F	8AA3
215870	8A8D
215871	8AA4
215872	8AA8
215873	8AA5
215874	8A98
215875	8A91
215876	8ABC
215877	8AC4
215878	8AD2
215879	8AC7
21587A	8ACB
21587B	8AF8
21587C	8AB2
21587D	8ABF
21587E	8AC9
215921	8AC2
215922	8AB0
215923	8A95
215924	8AD6
215925	8AE6
215926	8AFA
215927	8AEB
215928	8AF1
215929	8AE7
21592A	8ADC
21592B	8B00
21592C	8B01
21592D	8B02
21592E	8AFE
21592F	8AF7
215930	8AED
215931	8B17
215932	8B19
215933	8B0E
215934	8B1B
215935	8B0A
215936	8B21
215937	8B04
215938	8B1D
215939	8B39
21593A	8B2C
21593B	8B28
21593C	8B58
21593D	8B5C
