212F30	3007
21352D	53F8
21352E	53E4
21352F	53EE
213530	53EF
213531	53E9
213532	53F3
213533	53FC
213534	53E8
213535	53E6
213536	53EC
213537	53EB
213538	53F0
213539	53E5
21353A	53F1
21353B	53ED
21353C	53EA
21353D	53F2
21353F	540B
213540	5409
213541	5410
213542	540F
213543	540C
213544	540A
213545	540D
213546	5404
213547	5403
213548	5412
21354A	5406
21354D	542D
21354E	541D
21354F	541E
213550	541B
213551	544E
213552	543E
213553	5427
213554	5440
213555	5431
213556	5446
213557	543C
213558	5443
213559	5426
21355A	5420
21355B	5436
21355C	5433
21355D	5435
21355E	542E
21355F	544A
213560	5448
213561	543B
213562	5438
213563	5439
213564	5442
213565	542B
213566	541F
213567	5429
213568	5473
213569	5462
21356A	5475
21356B	5495
21356C	5478
21356D	5496
21356E	5477
21356F	547B
213571	5492
213572	5484
213573	547C
213574	5468
213575	5486
213576	548B
213577	548C
213578	5490
213579	547D
21357A	5476
21357B	5471
21357C	549A
21357D	548E
21357E	54A9
213621	54AA
213622	54A8
213623	54AC
213624	54C0
213625	54B3
213626	54A6
213627	54AB
213628	54C7
213629	54C9
21362A	54C4
21362B	54C2
21362D	54C1
21362F	54CE
213630	54B1
213631	54BB
213632	54AF
213633	54C8
213634	5501
213635	54FC
213636	5510
213637	54EA
213638	5514
213639	54FA
21363A	54E5
21363B	54EE
21363C	54F2
21363D	54E8
21363E	54E1
21363F	54E9
213640	54ED
213641	5506
213642	5509
213643	54E6
213644	5556
213645	5533
213646	5546
213647	5537
213648	554F
213649	555E
21364A	5566
21364B	556A
21364C	554A
21364D	5544
21364E	555C
21364F	5531
213650	5543
213651	552C
213652	5561
213653	553E
213654	5563
213655	5555
213656	552F
213657	552E
213658	5564
213659	5538
21365A	55A7
21365B	5580
21365C	557B
21365D	557C
21365E	5527
21365F	5594
213660	5587
213661	559C
213662	558B
213663	55AA
213664	55B3
213665	558A
213666	5583
213667	55B1
213668	55AE
213669	5582
21366A	559F
21366B	559D
21366C	5598
21366D	559A
21366E	557E
21366F	55AC
213670	5589
213671	55B2
213672	55BB
213673	55E8
213674	55DF
213675	55D1
213676	55DC
213677	55E6
213678	55C7
213679	55D3
21367A	55CE
21367B	55E3
21367C	55EF
21367D	55E4
21367E	55C5
213721	55DA
213722	55C6
213723	55E1
213724	5600
213725	561B
213726	55FE
213727	5616
213728	55F7
213729	5608
21372A	561F
21372B	55FD
21372C	5606
21372D	5609
21372E	5614
21372F	560E
213730	5617
213731	560D
213732	562E
213733	562F
213734	564E
213735	5636
213736	5632
213737	563B
213738	5639
213739	5657
21373B	5653
21373C	563F
21373D	5634
21373E	5637
21373F	5659
213740	5630
213741	566B
213742	5664
213743	5669
213744	5678
213745	5674
213746	5679
213747	5665
213748	566A
213749	5668
21374A	5671
